
key = training_type

ContinuousTraining

key = model_output

loadings

key = dfm_loadings

key = 0

,0,1,2,3,4
XLI,-3.1304824092559245e-05,-1.0933111536318496e-05,2.059721885581882e-05,-3.771556447576739e-06,2.754241095403039e-06
XLB,-0.00010875466816430331,-2.0253224846854532e-05,5.933604806634084e-05,-2.183830060805637e-05,5.2939301186293105e-05
XLRE,4.9232801251196555e-05,7.4634856937703564e-06,-1.2263758761299462e-05,2.6826245012419167e-05,-2.505203342209906e-05
XLK,3.8494442080858494e-05,-2.27410327782235e-06,-6.54667382897413e-06,1.2317243161468482e-05,-2.5385864338998027e-05
VOX,2.5307455723015145e-05,-4.154530040838528e-06,-4.4466315337611435e-07,5.977951717110529e-06,-1.9327534766144656e-05
XLU,-9.170596145453119e-05,-1.2805230535960124e-05,3.94768739671183e-05,-1.2677308407361041e-05,4.0774335802197057e-05
GDX,-5.028000001507271e-05,-9.194020058523746e-06,4.7316717035337314e-05,-1.3855403023610404e-05,4.5283010444797384e-05
GUNR,-0.00012163003374868386,-2.3664604318421638e-05,6.793470084757937e-05,-2.7002933231666925e-05,5.808310345577563e-05
IXUS,-8.782835761719055e-05,-1.7811015901082394e-05,4.7380548602697975e-05,-1.5595888929413523e-05,4.701381058209839e-05
IEFA,-7.884630458870908e-05,-1.626112232225381e-05,4.398143686839759e-05,-1.3039467600810177e-05,4.322585233934518e-05
EFA,-8.429514360320785e-05,-1.679570048177539e-05,4.583557047698422e-05,-1.416313421886658e-05,4.607367735427473e-05
VGK,-5.037626661207563e-05,-1.29160668640451e-05,3.400187702989007e-05,-6.403043849247799e-06,2.7664241656865578e-05
VWO,-0.00011166003737982055,-2.1751639136079858e-05,5.319418695716458e-05,-2.1587873929671958e-05,5.674411484925484e-05
IEMG,-0.00011018123624087736,-2.1688006252445593e-05,5.450050057443789e-05,-2.2197618016474277e-05,5.76357015161326e-05
SHV,-2.470932203886739e-07,-3.6522317574381035e-08,7.721244817358195e-08,-9.104069921846008e-08,1.2124336394520895e-07
BIL,1.3225661302431142e-07,3.6125026938423556e-08,-8.097651284259323e-08,3.312499207287472e-08,-6.917153897412754e-08
GBIL,-1.1577260529310127e-06,-1.6521157971299887e-07,4.3190094497833225e-07,-1.9281746052524735e-07,5.320165295201547e-07
SHY,-7.763411486037591e-07,-4.754590277284045e-08,4.408715189097766e-07,-2.7521205599658505e-08,4.468512928938592e-07
IEI,6.005079553239853e-07,5.206315566959273e-07,9.502064815019162e-08,6.195063640575725e-07,3.0325360241784443e-07
IEF,1.8087963500037704e-05,3.6873166569590498e-06,-6.9552573494495495e-06,5.276490271619293e-06,-6.94036617379813e-06
VGIT,3.956735905842604e-06,1.1532613866193367e-06,-1.259418650792573e-06,1.5236839927426085e-06,-1.0523500484182189e-06
TLT,0.00011859115603616429,2.015875938111362e-05,-4.974702731790741e-05,2.7896681428244545e-05,-5.122053570858886e-05
GOVT,2.0815699349618658e-05,3.7183648071732747e-06,-8.527596857327904e-06,5.543221603225916e-06,-7.950202331350354e-06
MUB,1.0729407311112753e-06,4.866657956977907e-07,5.14236144312643e-07,1.876534144616737e-07,4.666688133989016e-07
SHM,5.0674574341696325e-06,5.893691719127897e-07,-1.611736349585152e-06,8.211690837468006e-07,-2.5734963754703173e-06
VCSH,-1.5779556481749782e-06,-2.0079146632562827e-07,1.0189163488364098e-06,3.23915048311522e-07,1.0163110419676367e-06
VCIT,1.5559423837166692e-05,2.6779406852577724e-06,-4.972960661775755e-06,5.2283121943173125e-06,-6.074310786782361e-06
VCLT,9.215249299535211e-05,1.4534093261547406e-05,-3.65061042348193e-05,2.5198636615043994e-05,-4.129697939293113e-05
LQD,4.7245226675916846e-05,7.5298266786809974e-06,-1.8177742536267457e-05,1.3398532506179854e-05,-2.08947936721703e-05
HYG,7.787965408800425e-06,-1.1713180871932411e-07,-1.3034605764885462e-06,3.337748646819574e-06,-5.2484731951619325e-06
SHYG,2.944510724705933e-06,-6.839543644545769e-07,4.868784820806721e-08,1.947961378825823e-06,-2.7581989808831096e-06
MBB,5.129412088531393e-06,8.00202895653733e-07,-1.7500501313103658e-06,1.053534043654374e-06,-2.5809916347726574e-06
VMBS,1.1284950899312335e-05,1.6141419186532061e-06,-3.987512436119663e-06,2.23206262433022e-06,-5.430824370931106e-06
AGG,2.2475895495233858e-05,3.821962441300946e-06,-8.801897774569304e-06,6.105497200433061e-06,-9.79696192180007e-06
BSV,-2.2815802493558334e-07,1.2452466769720806e-07,3.8185567724529084e-07,2.3038719938052904e-07,3.62335577889834e-07
BIV,1.4013148739682449e-05,2.63336778061775e-06,-4.874013249746384e-06,4.230986702091465e-06,-5.363531842821401e-06
BLV,9.384285631791077e-05,1.5446035539974732e-05,-3.8004786654071795e-05,2.4319602534278546e-05,-4.1293104650302414e-05
BNDX,9.783420834960043e-06,1.6486522075784953e-06,-3.523766066489151e-06,2.167114218864163e-06,-4.504303644812233e-06
EMB,2.1461421253822484e-05,2.7740199188963447e-06,-6.412180049773439e-06,6.571497894782957e-06,-9.6512062614274e-06
GLD,2.648971084663043e-05,3.459715428614106e-06,-4.264640595756556e-06,6.3442780772413785e-06,-9.189512780634075e-06
