
key = model_output

dfm_loadings_collect

key = dfm_loadings_collect

key = 13

key = 0

,0,1,2,3,4
XLRE,-5.392500018503296e-05,0.0001519822081675355,-5.240203706507846e-05,-6.912916523059373e-06,-2.7458893061873693e-05
XLK,-6.619441039305752e-05,0.00018912465140130005,-6.544528920301304e-05,-6.62522342152519e-06,-3.765711212033126e-05
VOX,-2.5545975793349548e-05,6.563788852513598e-05,-2.316935157727185e-05,-3.535052228198389e-06,-1.194275739811113e-05
XLU,-1.3157933375929682e-05,4.5216229809100605e-05,-1.4262576399248232e-05,-5.082647788309276e-07,-9.124022400253503e-06
GDX,-1.9681054433398906e-05,4.76794483710923e-05,-1.5778446505781886e-05,-2.431093961016808e-06,-8.294709895050898e-06
GUNR,2.0274523737594153e-05,-6.432044498640252e-05,2.161942540916145e-05,1.0570151322138284e-06,1.405236876066415e-05
IXUS,-1.025137849915167e-05,2.3282952880312844e-05,-8.544856157481346e-06,-2.392856702386531e-06,-2.51136121406071e-06
IEFA,-1.9367291046069152e-05,5.0115407542262514e-05,-1.7477817889199552e-05,-3.0182995009096383e-06,-8.158704936608465e-06
EFA,-1.975686529290989e-05,5.0533721057210866e-05,-1.766206089870483e-05,-3.112341245661407e-06,-8.219127255627736e-06
VGK,-1.3574820021554289e-05,3.597141458456365e-05,-1.295872734389917e-05,-2.6751265829419753e-06,-4.975932273298476e-06
VWO,1.5010887054959028e-05,-4.58188002849185e-05,1.467603158067079e-05,-2.897826543253797e-07,1.1968902073564576e-05
IEMG,1.1471609737598813e-05,-4.089096732391231e-05,1.2898439568948536e-05,-7.385349353743744e-07,1.075836287875879e-05
SHV,-4.7435615310469416e-07,1.2197879010144853e-06,-4.4017082870647857e-07,-6.317704347428769e-08,-2.3333837695183033e-07
BIL,-9.688596579101496e-08,5.6974273565295603e-08,-2.7266020126605297e-08,-2.749806468153389e-08,3.422314764719807e-09
GBIL,-3.887193341857663e-06,9.35952556435173e-06,-3.3180193962139693e-06,-4.885386041508353e-07,-1.8736192892287261e-06
SHY,-6.187926923742655e-06,1.7524604593962697e-05,-6.053347620278121e-06,-5.698577969801561e-07,-3.577730949092456e-06
IEI,-1.5364876571246074e-05,4.193714993083009e-05,-1.4546008339444337e-05,-1.6057507774423325e-06,-8.365916397518526e-06
IEF,-2.449997275744688e-05,6.449218985992339e-05,-2.24028918173946e-05,-2.6933453118174853e-06,-1.2813582913609743e-05
VGIT,-1.7074593187820478e-05,4.596720255660662e-05,-1.594921966745139e-05,-1.8172751881185892e-06,-9.156430411725067e-06
TLT,-5.397838151685526e-05,0.00013558733254910195,-4.74024232109584e-05,-6.3873521544122254e-06,-2.681459547254161e-05
GOVT,-2.0576639404760676e-05,5.361957129817718e-05,-1.8694110943779785e-05,-2.299153988122993e-06,-1.0674315979680483e-05
MUB,-1.040897844541251e-05,2.554787142251013e-05,-8.78604090777849e-06,-1.1968755250606774e-06,-5.0170924457071635e-06
SHM,-6.110134657299263e-06,1.5437364651586285e-05,-5.38456844616218e-06,-7.437090536906866e-07,-3.00447820255753e-06
VCSH,-8.904445648766728e-06,2.4480907528280524e-05,-8.466342259156253e-06,-9.259003958529462e-07,-4.846663780377574e-06
VCIT,-1.9561834770663087e-05,5.070536971241168e-05,-1.767511534948069e-05,-2.269270599912097e-06,-9.898364008193373e-06
VCLT,-4.255970163409435e-05,0.00010895015982507618,-3.772412824866535e-05,-4.809218756042539e-06,-2.1524599666365544e-05
LQD,-2.7704007326399898e-05,7.154130766503884e-05,-2.4805937300769104e-05,-3.1312429924574256e-06,-1.4082694497997992e-05
HYG,-7.904432193990582e-06,2.2386381296694734e-05,-7.677040068192238e-06,-1.0376711536300183e-06,-3.831482588412668e-06
SHYG,-4.878802904400913e-06,1.463540600423601e-05,-4.8989294240063144e-06,-6.172003373530431e-07,-2.4044297013309623e-06
MBB,-2.2415672227355345e-05,5.799096762273116e-05,-2.029658777441617e-05,-2.5034601125751747e-06,-1.1594235933719079e-05
VMBS,-2.002601775538141e-05,5.098918249252412e-05,-1.7936085152727387e-05,-2.3111412989858954e-06,-1.0145744663991374e-05
AGG,-2.108169216557972e-05,5.5271515208565555e-05,-1.9242457508072086e-05,-2.3535611115046727e-06,-1.09519077990581e-05
BSV,-9.32576575974256e-06,2.588336454771349e-05,-8.966455107225374e-06,-9.149737186577415e-07,-5.2381642087058045e-06
BIV,-2.10816281760697e-05,5.5656236352163864e-05,-1.9358870441918556e-05,-2.3401832683089548e-06,-1.1005957706499709e-05
BLV,-4.5307685690019065e-05,0.00011437481397054861,-3.9882199646893176e-05,-5.312569389290362e-06,-2.255729859448981e-05
BNDX,-8.171438518309664e-06,1.8836722663256897e-05,-6.735390599411686e-06,-1.1817039264275796e-06,-3.4854988521635917e-06
EMB,-2.2155186023937882e-05,6.219863174151533e-05,-2.15671039141272e-05,-2.4035092413718194e-06,-1.2031714109230125e-05
GLD,4.094599701728803e-06,-1.405571027099136e-05,5.422975762208562e-06,-7.683703638891548e-08,4.228226184382203e-06
SLV,1.6255869576218636e-06,4.901598541551722e-06,-3.379378558354393e-07,1.138863704249435e-06,-1.0466965518409326e-06
USO,6.526404410998555e-05,-0.00015101527951156402,5.193707609136714e-05,9.29914555829455e-06,2.7347622663241427e-05
PDBC,3.4823659349500307e-05,-8.117392593768525e-05,2.793915453290633e-05,4.953577560619358e-06,1.4795356669371278e-05
VNQ,-5.4584074335751236e-05,0.00015304763257522513,-5.281634065607815e-05,-6.987876910087454e-06,-2.774834814793291e-05
VNQI,-1.6459155596776748e-05,4.3256059018317916e-05,-1.500422885026758e-05,-2.3480125325200824e-06,-7.289653489186462e-06

key = 3

,0,1,2,3,4
DIA,2.8179772279485312e-06,-5.310240538827624e-07,1.1288675446018462e-06,2.572757048691143e-06,-9.68189528184508e-07
SPY,-4.422776950308432e-06,1.5134595072283173e-05,-3.77950551099919e-06,1.3277150078679942e-06,-5.2366578355175005e-06
VO,-2.951718874942142e-05,8.783591003687767e-05,-2.8681269970195405e-05,-8.389904017518359e-07,-1.876517545114648e-05
IJH,-4.242347740198342e-05,0.0001255504706492984,-4.1385133466295786e-05,-1.7384195766853566e-06,-2.6117455292548868e-05
QQQ,-1.151304008033509e-05,3.539282755550919e-05,-9.544598882205609e-06,7.671388715363159e-07,-1.0639145137918403e-05
IWF,-3.763749731540272e-06,1.2144373444786002e-05,-1.9112316343483938e-06,1.4950033588672825e-06,-6.083486280642875e-06
XLY,-1.0647918656135217e-05,4.099987258600762e-05,-1.108165577688868e-05,1.0421893980825057e-06,-1.056410371659741e-05
XLP,1.584047337382162e-05,-3.5240140396426365e-05,1.2163391106106836e-05,3.4751975096124675e-06,7.453171561775635e-06
XLE,-3.028715900717038e-05,7.541075787407014e-05,-2.7344212835452958e-05,-4.9072186896270286e-06,-1.3224214248560784e-05
XLF,-1.2462151465478657e-05,3.8325265594624544e-05,-1.2848830404956422e-05,4.429930466323427e-07,-8.016706809345574e-06
XLV,3.440907887273859e-05,-8.706026149976285e-05,3.0377092830235626e-05,6.464051735343243e-06,1.6003618793908775e-05
XLI,-1.757037413973746e-05,5.473081012028914e-05,-1.7854506477395832e-05,4.1910986732378644e-07,-1.1740964237749105e-05
XLB,-1.8386285219741654e-05,6.202281153230475e-05,-2.0529379888261296e-05,5.729853907771387e-07,-1.1922887863583419e-05
XLRE,-1.9513103084974785e-05,5.997566630136915e-05,-1.891976476683261e-05,8.67024282801749e-07,-1.4187856476955572e-05
XLK,-1.3764926441725761e-05,3.818330390992951e-05,-1.0354589564142277e-05,8.86745156026546e-07,-1.235595073369968e-05
VOX,-1.538676808620207e-05,4.6099518043325e-05,-1.451511434251154e-05,-2.783125739978489e-07,-1.0564645650345272e-05
XLU,2.0520612529511782e-05,-5.672804951636932e-05,1.9110937958598514e-05,3.220690667511423e-06,1.0638618113260319e-05
GDX,1.9011788589264241e-06,-7.469872868055186e-07,1.1104977615615064e-06,2.71626210015633e-06,-1.4550561218358496e-06
GUNR,-1.8857356702927015e-05,5.289880246634385e-05,-1.8322155753648536e-05,-2.170795895740693e-06,-9.556175278408413e-06
IXUS,-2.7955332322818253e-05,7.944451159684256e-05,-2.636118554046876e-05,-1.6858765307878292e-06,-1.664672401422413e-05
IEFA,-1.9104047685649333e-05,5.5673338679355855e-05,-1.8099535534366982e-05,-3.623646279934258e-07,-1.2333751694931942e-05
EFA,-1.8988574559362027e-05,5.573221791751291e-05,-1.809817996215816e-05,-3.3637392825070523e-07,-1.2298317742856606e-05
VGK,-3.246687478429908e-05,9.05640799173521e-05,-3.008493422934602e-05,-2.244936451604782e-06,-1.9161407797277292e-05
VWO,-5.356578213448565e-05,0.00014575623753581695,-4.949288499689962e-05,-5.499760586598927e-06,-2.9119711556874786e-05
IEMG,-4.698898417652048e-05,0.00013005141983247998,-4.392825404658797e-05,-4.5751484331252654e-06,-2.5926880652407574e-05
SHV,-4.2535438498035514e-07,1.2014767858508963e-06,-3.8092855558378274e-07,-3.092311288696149e-08,-2.7375333804747144e-07
BIL,-1.5906936761842775e-08,1.5475368852563523e-07,-4.564847006086661e-08,1.2079489137004268e-08,-2.284083464970433e-08
GBIL,8.301950711461438e-07,-1.2992557556732594e-06,6.037320105329573e-07,2.1025631613371117e-07,1.838002708505688e-07
SHY,-5.699853792213093e-07,1.5096391870007025e-06,-2.439021333314998e-07,1.575968702932811e-07,-7.97282529897036e-07
IEI,-1.5462732241825688e-06,5.174437113804802e-06,-1.1067555149085618e-06,4.548482292954347e-07,-2.0495768703984714e-06
