
key = model_output

diff_score

key = diff_score_dict

key = diff_fit_variance_ts

,2018-12-28,2019-01-04,2019-01-11,2019-01-18,2019-01-25,2019-02-01,2019-02-08,2019-02-15,2019-02-22,2019-03-01,2019-03-08,2019-03-15,2019-03-22,2019-03-29,2019-04-05,2019-04-12,2019-04-19,2019-04-26,2019-05-03,2019-05-10,2019-05-17,2019-05-24,2019-05-31,2019-06-07,2019-06-14,2019-06-21
IEF,-0.01516904255100141,-0.006370081196984404,-0.013856832647871005,-0.01871078272384761,-0.024637810827385014,-0.006358243218992001,-0.012875593533439589,-0.027004964956067825,-0.04299722332401244,-0.035614274109798214,-0.012102343072483037,-0.01132856681561265,0.022348511440299805,0.010682603223010786,0.00728511669379081,-0.008471642028325245,-0.025799762371841978,-0.026449494147926737,-0.0416307769975093,-0.04935066272509054,-0.058654366215597685,-0.06499706759319836,-0.027935935239954825,-0.003178476403791367,-0.011560484372618153,-0.003801347904661241
VGIT,-0.00659056558386721,-0.0017069648961518153,-0.005429388919515495,-0.012023079100122706,-0.020566573705859098,-0.00729563229044703,-0.012382427580674291,-0.023368498162286044,-0.03989688183344878,-0.03885045737676988,-0.01812159544649775,-0.01730723964868546,0.0117441053116791,3.825986074651219e-05,-0.0019152653395268422,-0.017206054129975782,-0.03442435542612242,-0.03717929632085134,-0.053590172157168416,-0.0608322563903924,-0.06581360498500052,-0.07419376147357909,-0.0317401563392111,-0.006943487626206242,-0.01536032581801421,-0.008361951424740569
TLT,-0.009936548217750904,-0.001829131649923925,-0.006667829339438606,-0.021674630168109475,-0.027286266702919903,-0.005679342862801786,-0.006598844034356678,-0.02321478835485719,-0.03728748622230683,-0.01667342850651183,0.01312722217043167,0.01098771616698967,0.04954254634969473,0.045198973121529984,0.04222099721312909,0.030274246705341866,0.014031080341016685,0.01633483030655541,0.001796448995117329,-0.011355330817081021,-0.022292260044086767,-0.02989045509895355,0.0197263366471041,0.04467084658153648,0.036443742236140456,0.04638946381105595
GOVT,-0.016076359848105834,-0.004437399717682833,-0.007020121549220751,-0.017248664903281738,-0.023399100166820192,-0.006801441725319612,-0.012806241039962814,-0.027108428040786108,-0.04325504958666323,-0.03358504724077032,-0.0039923921101214874,-0.005056281867407764,0.037703062457697015,0.03096941009252916,0.032668069941904236,0.01757766804969345,0.0005065214700052627,-0.0005191584600330194,-0.01694009462969713,-0.026642185403637487,-0.0342972827917301,-0.0398026375170496,0.0033678772605117645,0.025764718587863274,0.017116321661030463,0.024653199672503564
MUB,-0.010103828169380697,-0.003568004531517094,-0.011235777206259187,-0.024415947987164826,-0.03073357288338989,-0.011339693914411373,-0.009329842029798412,-0.024848830497870875,-0.03472170679018815,-0.03715799314302358,-0.015943101355418127,-0.02038391551557828,0.04797776117846938,0.03483822599164062,0.022241842887445254,0.004096358405123745,-0.008954982236064663,0.01718657076182432,0.00633576809410179,0.0003087583975170524,-0.0008684614824162836,-0.01077900267926173,0.00446981984944568,0.015225674346587646,0.008940099739784105,0.016732487160947183
SHM,-0.00868985090255854,-0.005830102418176314,0.025006595705915347,0.017564391798237662,0.016477908213272864,0.04101014333702693,0.02872413588680666,0.015035021990169845,0.01472967517367424,0.00989809590023715,0.012616639565117936,0.015729928886793663,0.018785942440737932,0.0046187675818609615,-0.01216371776554715,-0.02230212011089548,-0.03757631414164532,-0.04343998285726211,-0.05408966649721648,-0.05736699899332469,-0.06528251231162913,-0.05934881223317876,-0.030683317344520126,-0.00954245200589653,-0.013060967486076205,0.002160010313916692
VCSH,-0.005109955466210538,-0.0011788489752425377,0.018323836526502397,0.03200035627506215,0.05016061869137052,0.08645654053734222,0.07828583478231341,0.06269683666233489,0.05451538099080738,0.055599496981921834,0.08225449793583832,0.08021788980060447,0.10681353575150036,0.09592848845214164,0.11567967057574016,0.10003709285604692,0.09150230857718303,0.08762448699747108,0.07103092375099873,0.05733563158709811,0.0414132150591046,0.033155332372722314,0.05848101559752541,0.06650654238538663,0.060694669155377155,0.07430657081205126
VCIT,-0.012393825385086413,-0.0005990514858708872,-0.00544311851076809,-0.01607791223700636,-0.011787114554360142,0.021618856518366297,0.017754649047580555,3.662528687079406e-05,-0.012520182836192746,-0.0062884033711317205,0.013076538803885554,0.016906926673359177,0.05848575628145229,0.04550148861406798,0.0341826096961913,0.018717001208636272,0.003830368820063387,0.011796817383920096,-0.00037947498597725875,-0.0166165940921836,-0.020321338525837365,-0.03018083892871996,0.0031940384210419072,0.022931843428725434,0.014852305063706543,0.02793720437255384
VCLT,-0.010567800488281773,-0.008299367261134864,-0.022574793516645177,-0.03786817861238117,-0.04283690400678957,-0.02430685786113448,-0.028748660586689817,-0.044112298972421894,-0.0592714568362944,-0.049963542961868564,-0.03446081340374828,-0.03926677968888647,-0.009085691975265162,-0.014551326918577306,-0.02397805682378517,-0.036856712092419884,-0.05383005782566789,-0.053599117133318566,-0.06651379740042042,-0.08106527684750987,-0.08878234458113987,-0.09498388862446529,-0.0619027941329645,-0.0444013205071144,-0.05252928636653943,-0.037511772595283426
LQD,-0.010066222055477017,-0.00256691748933763,-0.014745627631657739,-0.0285084520387931,-0.03045886136577338,-0.008542159290496162,-0.013507232043429254,-0.02915511187232443,-0.04435640217441295,-0.03475863979703553,-0.01596906294090722,-0.021375980381420336,0.024181485775036995,0.010361447969207441,-0.00220537649667141,-0.014813294869186117,-0.028686231517171177,-0.022052271640127567,-0.03616408579809007,-0.051253152824693796,-0.059178698214604496,-0.06502627112043906,-0.033886270426785395,-0.010937043152096952,-0.018985693064176794,0.0007485777376982233
