
key = model_output

all_variance

key = all_variance

,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
SHYG,2.9972829593401533e-05,2.7607164635792675e-05,3.0439620391285447e-05,2.7069199523908545e-05,2.584740114380061e-05,1.8913196109580872e-05,1.9048139807735326e-05,1.897862896795252e-05,2.1457346689180796e-05,1.7388587970155823e-05,1.8958027783306218e-05,1.9655433025235407e-05,1.9723907361772995e-05,2.00163262506684e-05,2.0488689919918725e-05,1.9136515874611242e-05,1.889270811314214e-05,1.8103278189602728e-05,1.7974605999390094e-05,1.8081647456270514e-05,1.8024556084483476e-05,1.7790825053847044e-05,1.7608639453845023e-05,1.821941590858139e-05,1.7978440199146485e-05,1.829559787920182e-05,1.7960274685508122e-05,2024-12-27
MBB,0.00010800710867088675,9.20698840155894e-05,9.732167410745055e-05,9.043344970448966e-05,9.122100632723244e-05,8.070218323130041e-05,8.015207345054983e-05,7.585904188850946e-05,7.198627261454628e-05,6.383013382949567e-05,7.077127566494847e-05,7.09632677591427e-05,7.601104642392681e-05,7.91017748601293e-05,7.947917563274014e-05,7.450588901028453e-05,7.504522274227921e-05,7.397977204559838e-05,7.531831000019157e-05,7.6771761015371e-05,7.737209597305018e-05,7.582986893891485e-05,7.542682713390211e-05,7.776503788577692e-05,7.725047971634154e-05,7.854772976237728e-05,7.790422934060778e-05,2024-12-27
VMBS,0.00010159010672580725,8.605550800912485e-05,9.272575128609675e-05,8.477087058342224e-05,8.591833460065716e-05,7.584655103477555e-05,7.406603936676524e-05,7.00504390446092e-05,6.694197250088605e-05,5.83018788909115e-05,6.428609283279119e-05,6.440856653664828e-05,6.922896004635789e-05,7.210672491907018e-05,7.240670786749124e-05,6.771743076228934e-05,6.811917906566966e-05,6.704313446901995e-05,6.834030806418023e-05,6.952440606519447e-05,6.991867097215623e-05,6.850095731562815e-05,6.823760462171259e-05,7.038669714872174e-05,6.992090466758735e-05,7.107919438109759e-05,7.040533156790597e-05,2024-12-27
AGG,8.655815232935825e-05,7.228224309158524e-05,7.383923611223038e-05,6.902870509435303e-05,6.933633972917132e-05,6.198023446106824e-05,6.348639657841348e-05,6.0308242987646544e-05,6.009436421016645e-05,5.2155056563678455e-05,6.0078633481285016e-05,5.8566270586723195e-05,6.305498870431361e-05,6.539109691994085e-05,6.574448604529772e-05,6.181808783497302e-05,6.217816129459472e-05,6.143175159786918e-05,6.241685295909792e-05,6.365947578323672e-05,6.423357668532915e-05,6.286289279715208e-05,6.24979410224446e-05,6.425532282329941e-05,6.39479138623952e-05,6.491447396182084e-05,6.45813120845365e-05,2024-12-27
BIV,9.326636617203346e-05,8.023886532409027e-05,8.07394432928733e-05,7.64184056724686e-05,7.71825657238872e-05,6.902456361831388e-05,6.904541940171763e-05,6.612521388652951e-05,6.584683178853911e-05,5.656435153259927e-05,6.432325207174993e-05,6.325986629938314e-05,6.743513987174046e-05,6.998438122714584e-05,7.053042934405693e-05,6.633726739335523e-05,6.664611089517584e-05,6.564731184544198e-05,6.659138035559209e-05,6.777249389185724e-05,6.834753138423281e-05,6.699115664996241e-05,6.659591516696285e-05,6.849932528919275e-05,6.812108259624544e-05,6.918550779408961e-05,6.873615673549736e-05,2024-12-27
BLV,0.00038439987322977,0.0002598694764554591,0.0002677212579862516,0.00024218465798264206,0.0002465846309824271,0.00023446207396681068,0.00025689351066268386,0.00028106062628223893,0.00027727847587518116,0.0002373823944297488,0.0002721612436904929,0.0002468839051311196,0.000269845798746826,0.0002802784081451404,0.00028170626273103154,0.0002657271651405384,0.00026753202223534856,0.00026527702337702304,0.00026847763810513664,0.0002758757576595623,0.0002802018896545511,0.0002726472445417663,0.00027019577268318467,0.00027710634059377486,0.0002762690245126035,0.0002803195865912606,0.0002805015662121152,2024-12-27
BNDX,3.8147409916415874e-05,3.10953192700109e-05,2.9720513141671133e-05,3.380871222477762e-05,2.742190060966914e-05,3.187997635425341e-05,2.6702517392135814e-05,2.622045173161369e-05,2.6136523315050702e-05,2.1001485850399105e-05,2.3444445173991144e-05,2.3628201481251864e-05,2.3594341224014893e-05,2.4742918341439953e-05,2.5033831132163447e-05,2.4045163059301587e-05,2.4018589236577445e-05,2.3826895884740798e-05,2.3838375268231543e-05,2.4182247552016036e-05,2.4357226106136724e-05,2.376658188651104e-05,2.3625822350102038e-05,2.397162748146653e-05,2.3976995101731768e-05,2.4124756482025135e-05,2.420646483447822e-05,2024-12-27
EMB,0.0001324992192793795,9.939907342569341e-05,0.00010650582166355023,0.00010112271750255846,0.00010541638049703528,8.694880765263505e-05,8.961726437513289e-05,7.95880491029489e-05,9.222717525182086e-05,7.134844833995505e-05,8.548734776502917e-05,8.340250405387177e-05,8.88596051147529e-05,9.450321698412834e-05,9.646867037105549e-05,8.95683527456907e-05,8.935897820411498e-05,8.599927375696065e-05,8.592086300390577e-05,8.703337106063355e-05,8.737608347426533e-05,8.574694777610651e-05,8.490244904403983e-05,8.818222896514969e-05,8.730736483122186e-05,8.907686563705676e-05,8.796158861340226e-05,2024-12-27
GLD,0.0005380589015664073,0.0005069406016819265,0.0004090350339649421,0.0003897547381559593,0.00041584079829843257,0.0004079995106618078,0.0003816046791687395,0.00036820667433762414,0.00044955884902837833,0.00043381810521277516,0.00033823283308746094,0.00034178436408797714,0.00035742262898142774,0.0003832249397491995,0.0004178929616388896,0.000387498369753832,0.0003872793200251548,0.00038656491951618926,0.00038395224759210503,0.00038271806711219253,0.0003694161151003032,0.0003707928944982119,0.00036944765810100014,0.0003615322746719527,0.00036511361949653385,0.00036166156602498973,0.0003617793024962042,2024-12-27
SLV,0.0019194450164160635,0.0018823634529850119,0.0018253666246463279,0.0018899929403021567,0.002036305762547173,0.0020223837192938614,0.0020402143161241185,0.0019067318836295485,0.002023807038623671,0.001916036280676714,0.0015296674544820212,0.0015239678115840417,0.0015328802292227182,0.0015260197494233777,0.0016089434100539847,0.001565235059609947,0.0015605681642049134,0.0015566854701805353,0.001578732049121484,0.001555305679141116,0.0015017304443362088,0.0014970948117000882,0.0014887666813774606,0.001493196795883763,0.0014867890150841655,0.0014731659878049494,0.001463096949357523,2024-12-27
USO,0.0011970374085945932,0.0011961299171047467,0.0010735911542656769,0.0011859281349223506,0.0011933659100010422,0.0012216973221460044,0.0010646445482909107,0.0010268111735392367,0.0012541863849909506,0.0011683581827208402,0.0013662004266787944,0.001478041919880618,0.001603981816125012,0.0014776024208435722,0.0016343240593092395,0.001566446443419131,0.0015540152539346161,0.0014174968627228583,0.0015015273345300535,0.0014871768388293979,0.001444963150234179,0.0015266146762109552,0.0015482460281825603,0.0015802125122782937,0.0016252919900703157,0.0015995839334760646,0.0016249149963701267,2024-12-27
